timestamp,setup_idx,setup_name,scenario,cup_state,driptray_state,power_label,power_mW,sub,sub_layout,window_s,total_sweeps,cup1_ant1_reads,cup1_ant1_avg_rssi,cup1_ant2_reads,cup1_ant2_avg_rssi,cup2_ant1_reads,cup2_ant1_avg_rssi,cup2_ant2_reads,cup2_ant2_avg_rssi,misreads,overlaps,interrupted,verdict,cup1_epc,cup2_epc,notes
2026-05-20T14:04:08,3,Flat Antennas with Separation,L,Empty,Empty,High,316,4,"Drip tray empty, cup empty (no liquid).     Cup 1 on Ant1, Cup 2 on Ant2.",15,75,34,-39.8,3,-60.57,41,-57.73,45,-61.05,44,32,no,FAIL,E2801191A5040076596E6F76,E2801191A5040076596E6FD6,massive over laps
2026-05-20T14:04:54,3,Flat Antennas with Separation,L,Empty,Empty,High,316,4,"Drip tray empty, cup empty (no liquid).     Cup 1 on Ant1, Cup 2 on Ant2.",15,74,41,-37.92,0,,33,-54.58,74,-60.78,33,33,no,FAIL,E2801191A5040076596E6F76,E2801191A5040076596E6FD6,
2026-05-20T14:32:40,3,Flat Antennas with Separation,K,Empty,Empty,Medium,170,4,"Drip tray empty, cup empty (no liquid).     Cup 1 on Ant1, Cup 2 on Ant2.",15,76,71,-47.44,5,-54.78,1,-61.3,55,-60.47,6,4,no,FAIL,E2801191A5040076596E6F76,E2801191A5040076596E6FD6,
2026-05-20T14:33:17,3,Flat Antennas with Separation,L,Empty,Empty,High,316,4,"Drip tray empty, cup empty (no liquid).     Cup 1 on Ant1, Cup 2 on Ant2.",15,77,59,-44.65,2,-61.15,1,-64.9,60,-58.25,3,1,no,FAIL,E2801191A5040076596E6F76,E2801191A5040076596E6FD6,
2026-05-20T14:34:06,3,Flat Antennas with Separation,L,Empty,Empty,High,316,4,"Drip tray empty, cup empty (no liquid).     Cup 1 on Ant1, Cup 2 on Ant2.",15,77,69,-45.84,4,-54.75,1,-67.1,50,-60.26,5,4,no,FAIL,E2801191A5040076596E6F76,E2801191A5040076596E6FD6,
2026-05-20T14:35:16,3,Flat Antennas with Separation,L,Empty,Empty,High,316,4,"Drip tray empty, cup empty (no liquid).     Cup 1 on Ant1, Cup 2 on Ant2.",15,76,76,-45.67,0,,0,,76,-60.73,0,0,no,PASS,E2801191A5040076596E6F76,E2801191A5040076596E6FD6,
2026-05-20T14:36:13,3,Flat Antennas with Separation,K,Empty,Empty,Medium,170,4,"Drip tray empty, cup empty (no liquid).     Cup 1 on Ant1, Cup 2 on Ant2.",15,76,76,-48.91,0,,0,,76,-61.59,0,0,no,PASS,E2801191A5040076596E6F76,E2801191A5040076596E6FD6,
2026-05-20T14:38:02,3,Flat Antennas with Separation,D,Full,Empty,Medium,170,1,"Drip tray empty, cup full (liquid in cup). Cup 1 on Ant1, Cup 2 on Ant2.",15,77,77,-56.28,0,,0,,24,-59.27,0,0,no,WEAK,E2801191A5040076596E6F76,E2801191A5040076596E6FD6,
2026-05-20T14:38:59,3,Flat Antennas with Separation,D,Full,Empty,Medium,170,1,"Drip tray empty, cup full (liquid in cup). Cup 1 on Ant1, Cup 2 on Ant2.",15,76,76,-55.87,0,,0,,61,-59.56,0,0,no,PASS,E2801191A5040076596E6F76,E2801191A5040076596E6FD6,
2026-05-20T14:39:26,3,Flat Antennas with Separation,G,Full,Empty,High,316,1,"Drip tray empty, cup full (liquid in cup). Cup 1 on Ant1, Cup 2 on Ant2.",15,76,76,-55.4,0,,0,,76,-55.2,0,0,no,PASS,E2801191A5040076596E6F76,E2801191A5040076596E6FD6,
